ano,sigla_uf,id_municipio,numero_obitos,tempo_medio_emprego,qtd_pessoas_cidade_uf,qtd_brancos_cidade_uf,qtd_negros_cidade_uf,qtd_indigena_cidade_uf,qtd_amarelos_cidade_uf,quantidade_estabelecimentos_ensino_infantil,quantidade_estabelecimentos_ensino_fundamental,quantidade_estabelecimentos_ensino_medio,seguranca,assistencia,previdencia,despesa_total,taxa_abandono_ef,taxa_reprovacao_ef,taxa_aprovacao_ef,taxa_abandono_em,taxa_reprovacao_em,taxa_aprovacao_em,atu_ei,atu_ef,atu_em,populacao,log_populacao,log_obitos,log_despesa,log_seguranca,log_assistencia,log_previdencia,obitos_pc,despesa_pc,seguranca_pc,assistencia_pc,previdencia_pc,maioria_nao_branca_cidade_uf,regiao,norte,nordeste,sudeste,sul,centro,pop_quantile
2019,AC,1200013,48,10.771428571428572,,,,,,,,,0.0,6253910.000000001,0.0,272445170.21999997,1.4916666666666665,3.441666666666666,95.06666666666668,13.233333333333334,14.033333333333333,72.73333333333335,14.066666666666666,26.658333333333328,27.733333333333334,15256.0,9.632728147280256,3.8918202981106265,19.422947945290712,0.0,15.648717586006434,0.0,0.003146303093864709,17858.230874410066,0.0,409.9311746198218,0.0,0,Norte,1,0,0,0,0,C
2019,AC,1200054,41,,,,,,,,,,0.0,7852964.620000001,0.0,209901748.52999988,4.825,7.825,87.35000000000001,6.333333333333333,6.8,86.86666666666669,13.172727272727274,18.491666666666667,23.633333333333336,7417.0,8.911529941736559,3.7376696182833684,19.162150119820442,0.0,15.876401804402693,0.0,0.0055278414453283,28300.08743831736,0.0,1058.7791047593369,0.0,0,Norte,1,0,0,0,0,B
2019,AC,1200104,148,4.959183673469388,,,,,,,,,0.0,12911431.04,871082.1000000001,578961389.3400004,1.2666666666666666,2.5833333333333335,96.15000000000002,3.566666666666666,2.466666666666667,93.96666666666664,19.6,24.15833333333333,30.533333333333335,26278.0,10.176487366201767,5.003946305945459,20.17674634996323,0.0,16.373623681535562,13.677492658861123,0.005632087677905472,22032.170992465195,0.0,491.33994367912317,33.148721363878536,0,Norte,1,0,0,0,0,D
2019,AC,1200138,42,5.55,,,,,,,,,,,,,4.2333333333333325,2.375,93.39166666666667,5.766666666666667,4.066666666666666,90.16666666666667,18.166666666666668,20.724999999999998,19.133333333333336,10266.0,9.236592743120248,3.7612001156935624,,,,,0.004091174751607247,,,,,0,Norte,1,0,0,0,0,B
2019,AC,1200179,46,5.25,,,,,,,,,1340412.9600000002,6125244.78,0.0,239844910.9500001,3.8249999999999997,8.999999999999998,87.175,10.066666666666666,4.300000000000001,85.63333333333333,18.233333333333334,24.033333333333335,24.56666666666667,11733.0,9.370160663423624,3.8501476017100584,19.295503072220587,14.108489049592611,15.627929440936922,0.0,0.003920565925168328,20441.90837381745,114.24298644847866,522.0527384300691,0.0,0,Norte,1,0,0,0,0,C
2019,AC,1200203,426,7.661717921527042,,,,,,,,,8893472.38,33708148.66,2698748.7,1671940340.069999,1.6714285714285713,4.621428571428571,93.70714285714284,5.015384615384615,12.100000000000001,82.88461538461539,17.200000000000003,21.37142857142857,28.300000000000004,88376.0,11.38935571855211,6.056784013228625,21.237250669794104,16.00082823759591,17.333250195760098,14.808299149648573,0.004820313207205576,18918.48850445821,100.63221213904228,381.4174511179505,30.537122069340093,0,Norte,1,0,0,0,0,D
2019,AC,1200252,86,6.794117647058823,,,,,,,,,0.0,8448220.62,0.0,340378840.34999996,2.2499999999999996,4.858333333333334,92.89166666666667,13.500000000000002,12.266666666666666,74.23333333333332,21.000000000000004,23.866666666666664,25.233333333333334,18411.0,9.820703591057207,4.465908118654584,19.64556979453535,0.0,15.94946651801212,0.0,0.004671120525772636,18487.797531367116,0.0,458.86810167834443,0.0,0,Norte,1,0,0,0,0,C
2019,AC,1200302,166,3.559322033898305,,,,,,,,,,,,,2.8333333333333335,11.683333333333337,85.48333333333333,10.066666666666666,7.166666666666667,82.76666666666665,14.627272727272727,21.8,22.933333333333334,34780.0,10.456797787908274,5.117993812416755,,,,,0.004772857964347326,,,,,0,Norte,1,0,0,0,0,D
2019,AC,1200328,20,,,,,,,,,,312943.12,5983879.62,0.0,3.0,2.025,9.483333333333333,88.49166666666667,7.8999999999999995,0.8999999999999999,91.20000000000002,17.033333333333335,18.35833333333333,14.1,8317.0,9.026056891868688,3.044522437723423,1.3862943611198906,12.653779923232412,15.604579848571138,0.0,0.002404713237946375,0.00036070698569195625,37.626923169412045,719.4757268245762,0.0,0,Norte,1,0,0,0,0,B
2019,AC,1200336,87,19.25,,,,,,,,,0.0,10803835.340000002,0.0,263259828.11999997,2.283333333333333,3.583333333333334,94.13333333333333,5.266666666666667,1.5333333333333332,93.19999999999999,15.700000000000005,20.999999999999996,22.700000000000003,18977.0,9.85098299855398,4.477336814478207,19.388652045869172,0.0,16.19541184568661,0.0,0.004584497022711704,13872.573542709595,0.0,569.3120798861781,0.0,0,Norte,1,0,0,0,0,C
2019,AC,1200344,53,,,,,,,,,,58439.520000000004,6260561.92,0.0,422484817.1999997,1.7250000000000003,6.083333333333335,92.19166666666666,17.599999999999998,12.5,69.89999999999999,15.566666666666666,23.25,33.9,9459.0,9.15472194821317,3.9889840465642745,19.861664070861448,10.975764763840107,15.649780662356106,0.0,0.0056031292948514645,44664.85011100536,6.178192197906756,661.8629791732741,0.0,0,Norte,1,0,0,0,0,B
