,inicial_mat,inicial_pt,in_laboratorio_informatica,in_laboratorio_ciencias,in_quadra_esportes,in_cozinha,in_biblioteca,in_sala_leitura,in_internet,in_alimentacao,tp_atividade_complementar,tp_localizacao,num_proffundamental,num_matri_fund_total_geral,num_turmas_fund_total_geral,nu_salas_utilizadas,nu_funcionarios,num_matri_fund_1a4,matri/prof,matri/salas,com_escola_1,com_escola_2,rural,alimentacao_rural
42,202.37,182.84,1,0,1,1,0,0,1,1,1,1. Urbana,107.0,0.0,0.0,13,76,0.0,0.0,0.0,5,4,0,0
43,213.05,212.08,0,0,0,1,0,0,1,1,0,1. Urbana,36.0,0.0,0.0,17,71,0.0,0.0,0.0,3,2,0,0
44,199.37,193.93,1,0,0,1,0,0,1,1,0,1. Urbana,22.0,0.0,0.0,10,43,0.0,0.0,0.0,4,3,0,0
45,211.99,213.74,1,0,0,1,1,0,1,1,0,1. Urbana,21.0,0.0,0.0,14,57,0.0,0.0,0.0,5,3,0,0
46,204.81,194.61,1,0,0,1,0,1,1,1,1,1. Urbana,40.0,0.0,0.0,12,50,0.0,0.0,0.0,5,3,0,0
47,214.72,199.67,1,0,1,1,1,1,1,1,1,1. Urbana,31.0,0.0,0.0,11,60,0.0,0.0,0.0,7,4,0,0
48,257.89,255.74,1,0,0,1,0,0,1,1,0,1. Urbana,34.0,0.0,0.0,10,49,0.0,0.0,0.0,4,3,0,0
49,235.52,234.04,1,0,0,1,0,1,1,1,0,1. Urbana,36.0,0.0,0.0,10,44,0.0,0.0,0.0,5,3,0,0
50,218.61,209.69,0,0,1,1,1,0,1,1,0,1. Urbana,28.0,0.0,0.0,9,40,0.0,0.0,0.0,5,3,0,0
51,228.78,218.92,1,0,0,1,0,0,1,1,0,1. Urbana,20.0,0.0,0.0,5,29,0.0,0.0,0.0,4,3,0,0
52,188.36,174.83,0,0,0,1,0,0,0,1,0,2. Rural,29.0,0.0,0.0,7,26,0.0,0.0,0.0,2,1,1,1
53,202.9,191.88,1,0,0,1,0,0,0,1,1,2. Rural,8.0,0.0,0.0,6,39,0.0,0.0,0.0,3,2,1,1
54,208.34,204.35,1,0,1,1,1,1,1,1,0,2. Rural,34.0,0.0,0.0,12,68,0.0,0.0,0.0,7,4,1,1
55,251.11,231.06,1,0,1,1,0,0,1,1,0,1. Urbana,102.0,0.0,0.0,16,69,0.0,0.0,0.0,5,4,0,0
56,200.82,194.39,1,0,1,1,1,0,1,1,0,1. Urbana,52.0,0.0,0.0,11,66,0.0,0.0,0.0,6,4,0,0
57,203.92,201.59,1,0,1,1,0,0,0,1,0,2. Rural,61.0,0.0,0.0,10,45,0.0,0.0,0.0,4,3,1,1
58,200.93,190.7,0,0,1,1,1,0,1,1,0,2. Rural,47.0,0.0,0.0,15,64,0.0,0.0,0.0,5,3,1,1
59,219.36,216.27,1,0,1,1,1,0,1,1,0,1. Urbana,130.0,0.0,0.0,12,53,0.0,0.0,0.0,6,4,0,0
60,221.91,204.07,0,0,1,1,1,0,1,1,1,1. Urbana,21.0,0.0,0.0,13,62,0.0,0.0,0.0,5,3,0,0
61,224.31,197.12,0,0,0,1,0,0,1,1,0,2. Rural,25.0,0.0,0.0,10,30,0.0,0.0,0.0,3,2,1,1
62,188.29,175.98,0,0,1,1,0,0,1,1,0,2. Rural,27.0,0.0,0.0,13,32,0.0,0.0,0.0,4,3,1,1
63,207.64,201.84,0,0,1,1,0,0,1,1,0,1. Urbana,142.0,0.0,0.0,10,64,0.0,0.0,0.0,4,3,0,0
64,216.88,202.9,1,0,0,1,1,1,1,1,0,1. Urbana,22.0,0.0,0.0,6,37,0.0,0.0,0.0,6,3,0,0
65,201.2,193.74,0,0,1,1,1,0,1,1,0,1. Urbana,48.0,0.0,0.0,12,73,0.0,0.0,0.0,5,3,0,0
66,262.49,241.68,0,0,1,1,0,0,1,1,0,1. Urbana,107.0,0.0,0.0,23,63,0.0,0.0,0.0,4,3,0,0
67,220.52,211.37,1,0,1,1,1,1,1,1,0,1. Urbana,10.0,0.0,0.0,5,31,0.0,0.0,0.0,7,4,0,0
